Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Turks and Caicos Islands,Americas,4011,10359.523,449,1159.667,4,27,69.735,1,2.583,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,3665,6367.601,331,575.082,18,20,34.748,2,3.475,0
Bhutan,South-East Asia,2830,366.767,164,21.254,28,3,0.389,0,0,0
Saint Barthélemy,Americas,2390,24178.048,435,4400.607,0,4,40.465,0,0,0
Anguilla,Americas,1942,12944.941,268,1786.428,165,6,39.995,1,6.666,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,268,4624.676,147,2536.67,10,0,0,0,0,0
Saba,Americas,142,7346.094,85,4397.31,35,0,0,0,0,0
Sint Eustatius,Americas,142,4523.734,40,1274.291,0,0,0,0,0,0
Montserrat,Americas,114,2280.456,61,1220.244,0,1,20.004,0,0,0
Falkland Islands (Malvinas),Americas,85,2440.425,3,86.133,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,25,3.64,1,0.146,0,0,0,0,0,0
Palau,Western Pacific,20,110.546,7,38.691,0,0,0,0,0,0
American Samoa,Western Pacific,11,19.929,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,7,11.826,3,5.068,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Samoa,Western Pacific,2,1.008,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
